夏春秋,吴耀冬(本名)
程媛媛,媛媛(昵称)
张伦硕,张超(本名)
艾娃·加德纳,愛娃嘉娜(台)
刘云天,刘毅(本名)
杨蕊,杨小蕊 (昵称) / 蕊蕊青儿 (昵称)
罗诠浩,罗彬
刘芸,刘云(本名)
朱丹,朱东花(本名)
林雪,林捷(原名)
夏一瑶,夏凡霓 / 夏冰冰
柳英霞,海涛妈
谢依霖,Hold住姐
蔡宜达,蔡意(原名)
王澜,王兰
张博,张林(本名)
郑逸桐,郑亦桐(本名)
黎明,黎生
陈百祥,阿叻(昵称) / 叻哥(昵称) / 荷兰叻(昵称)
李赛凤,阿满 / 李妹
苗可秀,陈咏悯(本名)
杜汶泽,傻强(昵称) / 阿澤(昵称)
刘小微,刘薇(本名)
文章,小文(昵称)
郭达,杰森·斯坦达（昵称）
陈健忠,陈建忠 / 陈建中
蔡卓妍,阿Sa(昵称)
张家辉,""
谢霆锋,霆锋
范逸臣,范佑臣 / 林纳斯
杨幂,紫曦(昵称) / 幂幂(昵称) / 狐狸(昵称) / 小幂(昵称) / 狐小幂(昵称) / 杨函数
邓丽欣,欣欣(昵称)
龙方,李建民 (本名)
黄秋生,黄爹（昵称） / 黄爸（昵称） / 生抽王（小名）
陈德容,Tak-yung Chan / De Rong Chen / Te-jung Chen
袁洁莹,阿莹(昵称) / 瑩仔(昵称)
黄一山,黄志强、细龟、小龟
黃老邪,王佐贤
文隽,王文俊（本名）
李思捷,阿肥
成龙,陈港生 (本名) / 房仕龙
黄光亮,傻标，彪哥
江希文,江欣慈（本名）
杜琪峰,杜琪峯 / 雪茄杜(昵称)
王菲,夏林(曾用名) / 王靖雯(艺名)
科洛·莫瑞兹,克洛伊·莫雷茨 / 克萝伊·葛蕾丝·莫瑞兹 / 科洛·格蕾斯·莫瑞兹
鲁伯特·弗兰德,鲁伯特·福兰德
朱迪·丹奇,茱迪·丹芝(港)
玛娅·鲁道夫,瑪雅·露多芙(港)
萝玛拉·嘉瑞,卢摩拉嘉莱
瓦妮莎·雷德格瑞夫,范尼莎•雷德格雷夫
乔瓦尼·瑞比西,乔万尼·里比斯
斯特兰·斯卡斯加德,史戴伦史柯斯嘉 / 斯特兰·萨森加德
塞缪尔·勒·比汉,缪尔·拉·比汉
约翰·特托罗,约翰·图图罗 / 约翰·托尔托罗
凯特·布兰切特,姬蒂·白兰芝(港) / 凯特·布兰琪(台)
鲁珀特·格雷夫斯,鲁伯特·格雷夫斯 / 拉珀特·格雷夫斯 / 鲁佩特·格拉维斯
F·W·茂瑙,弗莱德立希·瓦·茂瑙 / 默诺 / 茂瑶 / 弗瓦茂瑙 / 弗里德利希·茂瑙 / Friedrich Wilhelm Murnau
莫森·玛克玛尔巴夫,穆赫辛·马克马尔巴夫
D·W·格里菲斯,D·W·姬菲芙
碧姬·芭铎,布里吉特·芭杜 / 碧姬·芭杜
罗兰·贝科夫,Рола́н Анто́нович Бы́ков
让-皮埃尔·巴克里,尚皮雅·巴克利
阿尔贝·加缪,卡缪
亨利·雅格洛,亨利·嘉格隆
泰伦斯·马力克,特仑苏·马立克 / 泰伦斯马力
布鲁斯·邓恩,布鲁斯·德恩
内田裕也,Yuya Uchida
松本幸四郎,市川染五郎
浅利阳介,浅利陽介
本田博太郎,本田博太郎
宅麻伸,宅麻伸
矢岛健一,矢島健一
片濑梨乃,かたせ梨乃
菅田将晖,菅生大将(本名) / 菅田将晖(艺名) / 苏打(昵称)
冈田义德,岡田義徳
田崎敬浩,旺财 / 旺宝 / 旺旺 / 财哥 / 犬哥
古川雄辉,小哥（昵称）欧尼酱（昵称）小十七（昵称）
奥田瑛二,Okuda Eiji
仓科加奈,仓科佳奈
冈江久美子,岡江久美子
本仮屋唯佳,本假屋唯香
中川雅也,利利·弗兰克
菊池亚希子,菊池亚希子
中村玉绪,林玉緒(别名) / 奥村玉緒(本名)
远藤宪一,遠藤憲一
黎耀祥,祥仔(昵称) / 柴九哥(昵称) / 醒哥(昵称)
姜国民,江国民
吴庆哲,吴卓翰
黄宗泽,波士高、阿Co、波仔
陈法蓉,宝贝（昵称）
张文慈,Pinky Man-Chi Cheung / Lai Yiu Cheung / Man Tsi Cheung / Wen-ci Zhang
文·瑞姆斯,荣雷美斯
冯德伦,冯进财(本名)
邹凯光,灘叔、海灘
舒淇,林立慧(本名)
关礼杰,關禮傑
林志颖,小旋风(昵称) / 小志
郝劭文,好笑文(昵称) / 臭屁文(昵称) / 好色文(昵称)
叶竞生,八两金(艺名) / 叶子申
沈殿霞,肥肥 / 开心果
吴奇隆,吴老大(昵称) / 四爷(昵称) / 霹雳虎(昵称)
蒋勤勤,水灵(艺名)
冼志伟,冼志偉
应采儿,應采兒
关咏荷,荷姐 / 娥姐
吴彦祖,阿祖(昵称) / 蛋妞(昵称) / 吴老板
苏有朋,乖乖虎
阿里加·巴利吉斯,阿瑞杰·布里基斯
杰克·布莱克,積·伯克(港)
杰西卡·贝尔,洁西卡·贝尔
约翰·赵,约翰·周 / 约翰·乔 / 赵耀翰
保罗·吉亚玛提,保罗·吉亚马提
大卫·卡拉丁,大卫·卡拉丹
陈慧琳,陈慧汶(本名)
